Serial No.,College Name,Info Data
215,Suresh Gyan Vihar University - [SGVU],"Suresh Gyan Vihar University (SGVU) was established in 2008 in Jaipur, Rajasthan. The university was set up by the Government of Rajasthan Jaipur under Act No. 16 of 2008, passed in state Assembly of Rajasthan, giving it the status of 'State University'. The university has been recognized by UGC and approved by AICTE and PCI. The institute holds A+ Grade by NAAC."
216,Ponnaiyah Ramajayam Institute of Science and Technology University - [PRIST University],"Ponnaiyah Ramajayam Institute of Science and Technology University, commonly known as PRIST University is a deemed-to-be-university and one of the leading institutions in Tamil Nadu. PRIST University is ranked 8th overall and 64th for BTech in TOI 2021 rankings. It has received approvals from UGC, AICTE, MHRD, PCI, BCI, NCTE and COA and is accredited by NAAC. The university offers undergraduate, postgraduate and doctoral programs in a wide range of streams such as Engineering, Management, Computer Applications, Arts, Commerce, Pharmacy, Law, Agriculture etc. Some of the most popular courses of the university are BTech, BArch, BCom, MTech, MCA, MBA, MA etc."
217,Invertis University,"Invertis University, Bareilly offers UG, PG and doctorate courses in the fields of law, computer applications, pharmacy, education, journalism and mass communication, bio-science and technology, fashion designing, and many other courses. Admission to various courses in Invertis University is done on the basis of IUCET conducted by the University. The candidates can apply for admission through online mode. The application fee for all the programs is INR 750. The University also accepts national-level entrance exams like JEE Mains, CAT, UPTAC, CLAT, etc. for admission to its various courses."
218,Acropolis Institute of Technology & Research - [AITR],"Acropolis Institute of Technology and Research (AITR) was established in 2005 by Teach for India Education & Research Samiti. The institute is located in Indore, Madhya Pradesh and ranked as Top Engineering College in Indore by Career 360 and DATA QUEST. The institute has a highly qualified faculty as well as state of the art infrastructure that aids the process of education for students. The deserving students can even avail of among scholarship programs offered by the institute."
219,Quantum University,"The Uttarakhand State Legislature established Quantum University through the Quantum University Act 2016 in Roorkee, Uttarakhand. It is recognized by UGC and BCI. The university is also approved by PCI. It provides various Undergraduate, Postgraduate and Doctoral courses in the fields of Engineering, Computer Applications, Management, Media Studies & Design, Commerce & Finance, Science, Humanities & Social Science, Agricultural Studies, Health Sciences and Hospitality & Tourism and Law. The university has 8 schools to provide higher education in different fields. Admission to Quantum University is entrance and merit-based. The institute conducts a &  for UG and Ph.D. courses respectively. The campus of the university comprises aesthetically designed infrastructure including state-of-the-art internet and computer facilities, workshops, libraries, laboratories, seminar halls and many more facilities. The institute also offers job opportunities to students with some of the top organizations like , etc."
220,SAGE University,"SAGE University, Indore is a top-tier private university in India which is ranked 4th in Central India, 65th in India by The Times of India 2020 Ranking. It is the number 1 emerging university by Outlook 2020. SAGE University has received approval from the UGC, AICTE, BCI, COA, PCI and achieved Grade A+ by NAAC. The university offers a wide range of courses at UG, PG and PhD level in almost all disciplines such as Engineering, Commerce, Management, Pharmacy, Science, Humanities, Design etc. Some of its top courses are BTech, MBA, BBA, BDes, PhD etc."
221,Model Institute of Engineering and Technology - [MIET],"Model Institute of Engineering and Technology (MIET), Jammu was founded in 1996. MIET is part of the 88-year legacy of the MIER Group which has been in existence since 1936. Permanently Affiliated to University of Jammu and approved by All India Council for Technical Education (AICTE). MIET is accredited with an ‘A’ grade by NAAC and NBA Accreditation. Recognized for its excellence, MIET has garnered a 3.5-star rating from the Institute's Innovation Council under the Ministry of Education, Government of India, consistently leading in innovation within Jammu and Kashmir over the last three years."
222,RVR and JC College of Engineering,"R V R & J C College of Engineering (Rayapati Venkata Rangarao & Jagarlamudi Chandramouli) is an engineering college in Guntur, offering Masters and Bachelors courses in engineering and technology. It is located in the west suburban region of Guntur City, India."
223,Rabindranath Tagore University - [RNTU],"Rabindranath Tagore University also known as RNTU Bhopal is India’s first skill-based University and is the leading university of India’s leading higher education group, AISECT Group of Universities. The university was established in 2010 in Bhopal and is recognized by AICTE, NCTE, and BCI. The university offers 117 courses at UG, PG, Ph.D. & Diploma levels. Admissions to RNTU Bhopal are done based on either merit or a national-level entrance test i.e. AJEE (AISECT Joint Entrance Test)."
224,Sister Nivedita University - [SNU],
225,CMJ University,"CMJ University is a private university founded in the year 2009 at the Ribhoi district of Meghalaya. It is recognized by UGC & offers a variety of UG, PG, Doctoral & Diploma programs in the field of Engineering & Technology, Arts, Science, Commerce, Management, Health Sciences, Nursing, Law, Arts & Crafts, etc. The university boasts excellent infrastructural facilities to create a better learning atmosphere"
226,Mangalayatan University - [MU],"Mangalayatan University (MU) Aligarh, a member of Association of Indian Universities (AIU), has been created under ""The Mangalayatan University, Uttar Pradesh Act, 2006"". All programs offered by MU have regulatory approval by authorities like UGC, National Council for Teacher Education (NCTE), Bar Council of India (BCI), and Pharmacy Council of India (PCI). The University delivers a quality educational experience leading to rewarding career opportunities to all students. Nearly 4,000 students currently study at Mangalayatan University."
